,phrase,label,sentiment,subjectivity,language,count
US-Präsident,US-Präsident,LOC,-0.07142857142857141,0.0800865800865801,de,154
USA,USA,LOC,-0.12157738095238094,0.026785714285714284,de,112
Ukraine,Ukraine,LOC,0.03621212121212121,0.031818181818181815,de,110
Israel,Israel,LOC,-0.07061855670103093,0.03608247422680412,de,97
Frankreich,Frankreich,LOC,0.006707317073170721,0.036585365853658534,de,82
Japan,Japan,LOC,-0.00020833333333332427,0.0,de,80
New York,New York,LOC,-0.07374429223744292,0.03196347031963471,de,73
Berlin,Berlin,LOC,0.08125,0.03125,de,64
Russland,Russland,LOC,-0.16091954022988506,0.08505747126436781,de,58
den USA,den USA,LOC,0.08007246376811594,0.03333333333333333,de,46
Deutschland,Deutschland,LOC,0.0558139534883721,0.023255813953488372,de,43
Stockholm,Stockholm,LOC,0.12631578947368421,0.0,de,38
Argentinien,Argentinien,LOC,0.26000000000000006,0.02857142857142857,de,35
Venedig,Venedig,LOC,0.27150537634408595,0.12903225806451613,de,31
Großbritannien,Großbritannien,LOC,-0.008928571428571425,0.0,de,28
Weißen Haus,Weißen Haus,LOC,-0.09399999999999999,0.06,de,25
Australien,Australien,LOC,0.02727272727272728,0.0,de,22
China,China,LOC,-0.11818181818181817,0.1409090909090909,de,22
Venezuela,Venezuela,LOC,-0.1285714285714286,0.0,de,21
Frankreichs,Frankreichs,LOC,-0.021052631578947364,0.21052631578947367,de,19
Gaza,Gaza,LOC,-0.008333333333333335,0.16666666666666666,de,18
Ungarn,Ungarn,LOC,0.3264705882352942,0.0,de,17
London,London,LOC,-0.0176470588235294,0.029411764705882353,de,17
Russlands,Russlands,LOC,0.0607843137254902,0.0,de,17
Washington,Washington,LOC,0.05882352941176469,0.11764705882352941,de,17
Paris,Paris,LOC,0.0,0.0625,de,16
Polen,Polen,LOC,-0.020000000000000004,0.06666666666666667,de,15
Los Angeles,Los Angeles,LOC,-0.03333333333333333,0.1,de,15
Türkei,Türkei,LOC,0.0,0.0,de,14
Landes,Landes,LOC,0.09999999999999999,0.07142857142857142,de,14
Japans,Japans,LOC,0.14285714285714285,0.0,de,14
US-Präsidenten,US-Präsidenten,LOC,0.11428571428571425,0.17142857142857143,de,14
Europa,Europa,LOC,-0.045238095238095244,0.09523809523809523,de,14
Gazastreifen,Gazastreifen,LOC,0.05384615384615384,0.15384615384615385,de,13
Karibik,Karibik,LOC,-0.47307692307692306,0.0,de,13
Trump,Trump,LOC,0.0,0.08333333333333333,de,12
…,…,LOC,-0.07083333333333333,0.0,de,12
Union,Union,LOC,0.16666666666666666,0.0,de,12
Verbrenner-Aus,Verbrenner-Aus,LOC,-0.06363636363636363,0.0,de,11
Südkorea,Südkorea,LOC,0.0,0.0,de,11
US-Regierung,US-Regierung,LOC,0.0,0.0,de,11
Mailand,Mailand,LOC,0.16999999999999998,0.0,de,10
Spanien,Spanien,LOC,-0.1722222222222222,0.2222222222222222,de,9
Ägypten,Ägypten,LOC,0.30000000000000004,0.1111111111111111,de,9
Libyen,Libyen,LOC,-0.17777777777777778,0.0,de,9
US-Verteidigungsminister,US-Verteidigungsminister,LOC,-0.3472222222222222,0.08333333333333333,de,9
Stadt,Stadt,LOC,-0.08333333333333333,0.0,de,9
Oslo,Oslo,LOC,0.2833333333333333,0.0,de,9
Mittelmeer,Mittelmeer,LOC,-0.25,0.0,de,8
Hollywood,Hollywood,LOC,0.3375,0.0,de,8
Texas,Texas,LOC,-0.3,0.0,de,8
New York City,New York City,LOC,0.4,0.0625,de,8
Élysée-Palast,Élysée-Palast,LOC,0.0,0.0,de,8
Milei,Milei,LOC,0.2125,0.0,de,8
Hamas,Hamas,LOC,0.23124999999999998,0.0,de,8
Bund,Bund,LOC,-0.09999999999999999,0.0,de,7
Thüringen,Thüringen,LOC,0.29999999999999993,0.0,de,7
Tokio,Tokio,LOC,0.24285714285714285,0.0,de,7
Argentiniens,Argentiniens,LOC,-0.2571428571428571,0.0,de,7
Italien,Italien,LOC,-0.09999999999999999,0.2857142857142857,de,7
Budapest,Budapest,LOC,0.0,0.0,de,7
Japaner,Japaner,LOC,0.46428571428571425,0.0,de,7
Kiew,Kiew,LOC,0.24285714285714285,0.0,de,7
München,München,LOC,-0.1642857142857143,0.0,de,7
Indien,Indien,LOC,-0.14285714285714285,0.0,de,7
Hamburg,Hamburg,LOC,0.0,0.16666666666666666,de,6
Bayern,Bayern,LOC,-0.06666666666666665,0.0,de,6
Peking,Peking,LOC,0.3499999999999999,0.16666666666666666,de,6
Katar,Katar,LOC,0.05000000000000001,0.0,de,6
Europas,Europas,LOC,-0.05000000000000001,0.0,de,6
Chinas,Chinas,LOC,0.23333333333333328,0.0,de,6
US-Amerikaner,US-Amerikaner,LOC,0.025000000000000005,0.0,de,6
Miami,Miami,LOC,-0.21666666666666667,0.0,de,6
Netanjahu,Netanjahu,LOC,0.16666666666666666,0.16666666666666666,de,6
UN-Generaldebatte,UN-Generaldebatte,LOC,-0.2333333333333333,0.0,de,6
Ankara,Ankara,LOC,-0.2333333333333333,0.0,de,6
Virginia,Virginia,LOC,-0.11666666666666665,0.0,de,6
Prada,Prada,LOC,0.0,0.16666666666666666,de,6
Friedrichstadt-Palast,Friedrichstadt-Palast,LOC,-0.13999999999999999,0.0,de,5
Zohran Mamdani,Zohran Mamdani,LOC,0.54,0.0,de,5
Björn Höcke,Björn Höcke,LOC,0.27999999999999997,0.0,de,5
Schloss Windsor,Schloss Windsor,LOC,0.13999999999999999,0.0,de,5
Moskau,Moskau,LOC,0.06000000000000001,0.0,de,5
Pazifik,Pazifik,LOC,-0.13999999999999999,0.0,de,5
Demokraten-Hochburg New York,Demokraten-Hochburg New York,LOC,-0.13999999999999999,0.0,de,5
Asien,Asien,LOC,-0.13999999999999999,0.0,de,5
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.13999999999999999,0.0,de,5
Takaichi,Takaichi,LOC,0.2,0.0,de,5
Vereinigten Staaten,Vereinigten Staaten,LOC,-0.33999999999999997,0.0,de,5
Vatikan,Vatikan,LOC,-0.2,0.0,de,5
Dallas,Dallas,LOC,0.22000000000000003,0.06666666666666667,de,5
Modeschau,Modeschau,LOC,0.0,0.0,de,5
Franzose,Franzose,LOC,-0.27999999999999997,0.0,de,5
Gabbana,Gabbana,LOC,0.10999999999999999,0.0,de,5
Rom,Rom,LOC,0.0,0.0,de,4
Arizona,Arizona,LOC,0.25,0.0,de,4
Afghanistan,Afghanistan,LOC,-0.35,0.0,de,4
Argentinier,Argentinier,LOC,0.0,0.0,de,4
Griechenland,Griechenland,LOC,-0.5,0.0,de,4
Amt,Amt,LOC,0.0,0.25,de,4
Brasilien,Brasilien,LOC,-0.0875,0.125,de,4
Land,Land,LOC,-0.675,0.0,de,4
Bugonia,Bugonia,LOC,-0.5,0.0,de,4
Weiße Haus,Weiße Haus,LOC,0.175,0.0,de,4
Madrid,Madrid,LOC,0.0,0.0,de,4
Influencerin,Influencerin,LOC,0.0,0.0,de,4
Bayerns,Bayerns,LOC,0.0,0.0,de,4
US-Bundesstaat,US-Bundesstaat,LOC,0.0,0.0,de,4
Selenskyj,Selenskyj,LOC,-0.25,0.0,de,4
England,England,LOC,-0.0875,0.375,de,4
Mileis,Mileis,LOC,-0.7,0.0,de,4
Royal,Royal,LOC,0.2875,0.0,de,4
Kongresswahl,Kongresswahl,LOC,-0.7,0.0,de,4
Warschau,Warschau,LOC,0.5249999999999999,0.0,de,4
Kanadier,Kanadier,LOC,0.07500000000000001,0.0,de,4
New Yorker,New Yorker,LOC,0.20416666666666666,0.20833333333333331,de,4
US-Sender,US-Sender,LOC,0.0,0.0,de,4
Belarus,Belarus,LOC,0.0,0.0,de,4
Kanada,Kanada,LOC,0.5,0.0,de,4
Amerikaner,Amerikaner,LOC,0.5249999999999999,0.0,de,4
New Yorks,New Yorks,LOC,-0.175,0.0,de,4
Tangas,Tangas,LOC,0.0,0.0,de,3
Marine Le Pen,Marine Le Pen,LOC,0.0,0.0,de,3
Brüssel,Brüssel,LOC,0.0,0.3333333333333333,de,3
Tiktok,Tiktok,LOC,0.2333333333333333,0.0,de,3
Pentagon,Pentagon,LOC,-0.5666666666666667,0.0,de,3
Franzosen,Franzosen,LOC,0.0,0.0,de,3
Apostolischen Palast,Apostolischen Palast,LOC,-0.4666666666666666,0.0,de,3
X,X,LOC,0.2333333333333333,0.0,de,3
Promis,Promis,LOC,0.0,0.0,de,3
Abgeordnetenhaus,Abgeordnetenhaus,LOC,0.0,0.0,de,3
Erde,Erde,LOC,-0.43333333333333335,0.0,de,3
Berlins,Berlins,LOC,0.0,0.0,de,3
Kaliforniens,Kaliforniens,LOC,-0.04444444444444446,0.2222222222222222,de,3
New Yorks Rathaus,New Yorks Rathaus,LOC,-0.2333333333333333,0.0,de,3
Nigeria,Nigeria,LOC,0.0,0.0,de,3
Morgen,Morgen,LOC,0.0,0.0,de,3
Büsum,Büsum,LOC,0.0,0.0,de,3
US-Israeli,US-Israeli,LOC,-0.2333333333333333,0.0,de,3
Finanzminister,Finanzminister,LOC,0.0,0.3333333333333333,de,3
FDP-Chef,FDP-Chef,LOC,0.0,0.0,de,3
Doku,Doku,LOC,0.0,0.0,de,3
Jordanien,Jordanien,LOC,0.3333333333333333,0.0,de,3
Putins,Putins,LOC,0.0,0.0,de,3
Frankfurt am Main,Frankfurt am Main,LOC,0.0,0.0,de,3
Bettwanzen,Bettwanzen,LOC,-0.3333333333333333,0.0,de,3
Israels,Israels,LOC,-0.3333333333333333,0.0,de,3
Peso,Peso,LOC,0.7999999999999999,0.0,de,3
US-Kollegen,US-Kollegen,LOC,0.0,0.0,de,3
Essen,Essen,LOC,0.45,0.0,de,3
Mainz,Mainz,LOC,0.0,0.0,de,3
Ländern,Ländern,LOC,-0.2333333333333333,0.0,de,3
