,phrase,label,sentiment,subjectivity,language,count
Republikaner,Republikaner,MISC,,,de,90
britische,britische,MISC,,,de,25
deutsche,deutsche,MISC,,,de,23
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,23
Killers of the Flower Moon,Killers of the Flower Moon,MISC,,,de,23
The Woman,The Woman,MISC,,,de,19
The Woman in Me,The Woman in Me,MISC,,,de,18
Me,Me,MISC,,,de,18
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,16
Zeit,Zeit,MISC,,,de,15
ukrainische,ukrainische,MISC,,,de,14
sozialen,sozialen,MISC,,,de,14
Weihnachten,Weihnachten,MISC,,,de,14
Ex-US-Präsident,Ex-US-Präsident,MISC,,,de,14
britischen,britischen,MISC,,,de,14
NFL-Spiel,NFL-Spiel,MISC,,,de,13
X,X,MISC,-1.15,0.3333333333333333,de,13
The Crown,The Crown,MISC,,,de,13
Kate,Kate,MISC,,,de,11
russischen,russischen,MISC,,,de,11
Person des Jahres,Person des Jahres,MISC,,,de,11
ePaper,ePaper,MISC,,,de,11
Netflix,Netflix,MISC,,,de,11
deutschen,deutschen,MISC,,,de,10
Hollywood-Star,Hollywood-Star,MISC,,,de,10
Sahra Wagenknecht,Sahra Wagenknecht,MISC,,,de,10
amerikanische,amerikanische,MISC,,,de,10
russische,russische,MISC,,,de,9
argentinische,argentinische,MISC,,,de,8
Grammy Awards,Grammy Awards,MISC,,,de,8
Gotham Awards,Gotham Awards,MISC,,,de,8
Apple Original Film,Apple Original Film,MISC,,,de,8
Super Bowl,Super Bowl,MISC,,,de,7
Heidi,Heidi,MISC,,,de,7
republikanische,republikanische,MISC,,,de,7
Roll Hall of Fame,Roll Hall of Fame,MISC,,,de,7
Judenhass,Judenhass,MISC,,,de,6
Deadpool,Deadpool,MISC,,,de,6
Gaza-Krieg,Gaza-Krieg,MISC,,,de,6
amerikanischen,amerikanischen,MISC,,,de,6
Marine Le Pen,Marine Le Pen,MISC,,,de,6
Fest,Fest,MISC,,,de,6
US-amerikanische,US-amerikanische,MISC,,,de,6
Earthshot Prize,Earthshot Prize,MISC,,,de,6
Earthshot Prize Awards,Earthshot Prize Awards,MISC,,,de,6
französische,französische,MISC,,,de,6
Twitter,Twitter,MISC,,,de,6
Bankman-Fried,Bankman-Fried,MISC,,,de,6
britischer,britischer,MISC,,,de,5
Tages,Tages,MISC,,,de,5
europäische,europäische,MISC,,,de,5
When browsing with ads,When browsing with ads,MISC,,,de,5
Karlsruher,Karlsruher,MISC,,,de,5
Lesen Sie jetzt,Lesen Sie jetzt,MISC,,,de,5
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,5
Krieg,Krieg,MISC,,,de,5
israelischen,israelischen,MISC,,,de,5
Präsidentschaftswahl in Argentinien,Präsidentschaftswahl in Argentinien,MISC,,,de,5
Trolls,Trolls,MISC,,,de,5
Krieges,Krieges,MISC,,,de,5
The Woman in,The Woman in,MISC,,,de,5
Some of the information stored on your device,Some of the information stored on your device,MISC,,,de,5
We collect personal data and also transmit it to third-party,We collect personal data and also transmit it to third-party,MISC,,,de,5
Deutsche,Deutsche,MISC,,,de,5
NSYNC,NSYNC,MISC,,,de,5
argentinischen,argentinischen,MISC,,,de,5
spanische,spanische,MISC,,,de,5
Instag,Instag,MISC,,,de,5
Ferrari“,Ferrari“,MISC,,,de,4
Pop-Gigantin,Pop-Gigantin,MISC,,,de,4
spanischen,spanischen,MISC,,,de,4
NFL-Superstar,NFL-Superstar,MISC,,,de,4
Halloween,Halloween,MISC,,,de,4
Football-Spektakel,Football-Spektakel,MISC,,,de,4
Kennedy-Preis,Kennedy-Preis,MISC,,,de,4
NFL-Fans,NFL-Fans,MISC,,,de,4
Football-Star,Football-Star,MISC,,,de,4
Stadion-Besuch,Stadion-Besuch,MISC,,,de,4
Dumb Money,Dumb Money,MISC,,,de,4
Royals am Abend,Royals am Abend,MISC,,,de,4
Die Zeit,Die Zeit,MISC,,,de,4
Trumps,Trumps,MISC,,,de,4
Maude v Maude,Maude v Maude,MISC,,,de,4
Nachrichtentag,Nachrichtentag,MISC,,,de,4
Nahostkonflikt,Nahostkonflikt,MISC,,,de,4
"Family Switch""-Filmpremiere","Family Switch""-Filmpremiere",MISC,,,de,4
Fake News,Fake News,MISC,,,de,4
Serien-Highlights,Serien-Highlights,MISC,,,de,4
Deutschen,Deutschen,MISC,,,de,4
