,phrase,label,sentiment,subjectivity,language,count
Wagner-Chef Prigoschin,Wagner-Chef Prigoschin,PER,-0.08333333333333333,0.0,de,12
Roger Federer,Roger Federer,PER,0.65,0.08333333333333333,de,12
Jessy Wellmer,Jessy Wellmer,PER,0.06999999999999999,0.0,de,10
James Middleton,James Middleton,PER,0.0,0.0,de,9
Hubert Aiwanger,Hubert Aiwanger,PER,0.027777777777777766,0.2222222222222222,de,9
Ross Antony,Ross Antony,PER,0.0,0.0,de,8
Enkelsohnes Leandro,Enkelsohnes Leandro,PER,0.7666666666666666,0.0,de,6
Judi Dench,Judi Dench,PER,0.7000000000000001,0.0,de,6
Janina Hatt,Janina Hatt,PER,0.0,0.0,de,5
Ex-Premier Johnson,Ex-Premier Johnson,PER,0.13333333333333333,0.0,de,5
Christine Prayon,Christine Prayon,PER,0.32,0.05,de,5
Kelly Osbourne,Kelly Osbourne,PER,0.0,0.0,de,5
Royales Recycling,Royales Recycling,PER,0.0,0.0,de,4
Helene Fischer,Helene Fischer,PER,-0.5,0.0,de,4
Zara Tindall,Zara Tindall,PER,0.0,0.0,de,4
Kanadas Premier Trudeau,Kanadas Premier Trudeau,PER,0.0,0.0,de,4
Sohn Suleman,Sohn Suleman,PER,0.0,0.0,de,4
Jürgen Köpper,Jürgen Köpper,PER,0.0,0.0,de,4
Annabel Wimbledon,Annabel Wimbledon,PER,0.0,0.0,de,4
Georg Maier,Georg Maier,PER,1.0,0.0,de,4
Präsidentensohn Hunter,Präsidentensohn Hunter,PER,-0.5,0.0,de,4
Kai Diekmann,Kai Diekmann,PER,0.0,0.0,de,4
Herbert Kickl,Herbert Kickl,PER,0.0,0.0,de,4
Sibylle Berg,Sibylle Berg,PER,0.0,0.0,de,4
Jewgenij Prigoschin,Jewgenij Prigoschin,PER,0.125,0.125,de,4
Mathilde von Belgien,Mathilde von Belgien,PER,0.0,0.0,de,4
Bundesliga-Torschützenkönig Christopher Nkunku,Bundesliga-Torschützenkönig Christopher Nkunku,PER,0.6999999999999998,0.0,de,3
Sohn von Nürnbergs,Sohn von Nürnbergs,PER,0.2333333333333333,0.0,de,3
Charlotte Owen,Charlotte Owen,PER,0.0,0.0,de,3
Carlo Masala,Carlo Masala,PER,0.6666666666666666,0.3333333333333333,de,3
Li Qiang,Li Qiang,PER,0.3833333333333333,0.0,de,3
Ilkay Gündogan,Ilkay Gündogan,PER,0.0,0.0,de,3
Stefan Kramer,Stefan Kramer,PER,-0.2333333333333333,0.0,de,3
Angela Lanz,Angela Lanz,PER,0.6666666666666666,0.0,de,3
Till Lindemann,Till Lindemann,PER,0.3333333333333333,0.0,de,3
