,phrase,label,sentiment,subjectivity,language,count
SPD,SPD,ORG,0.053896103896103886,0.023376623376623377,de,77
SPIEGEL,SPIEGEL,ORG,0.672549019607843,0.0,de,51
E-Paper,E-Paper,ORG,0.6999999999999998,0.0,de,49
EU,EU,ORG,0.08229166666666667,0.041666666666666664,de,48
CDU,CDU,ORG,-0.12162162162162163,0.0,de,37
Grüne,Grüne,ORG,0.03518518518518518,0.0,de,27
Partei,Partei,ORG,-0.022222222222222227,0.0,de,27
FDP,FDP,ORG,0.009999999999999998,0.175,de,20
WELT,WELT,ORG,0.5349999999999999,0.025,de,20
EZB,EZB,ORG,0.1722222222222222,0.0,de,18
CSU,CSU,ORG,0.022222222222222216,0.0,de,18
Musk,Musk,ORG,-0.21176470588235294,0.029411764705882353,de,17
EU-Ratspräsident,EU-Ratspräsident,ORG,0.12352941176470586,0.11764705882352941,de,17
Repräsentantenhaus,Repräsentantenhaus,ORG,-0.19999999999999998,0.0,de,14
Sahra Wagenknecht,Sahra Wagenknecht,ORG,-0.05384615384615384,0.07692307692307693,de,13
Bundestag,Bundestag,ORG,0.2125,0.075,de,12
Union,Union,ORG,-0.2,0.0,de,10
WEB.DE News.,WEB.DE News.,ORG,-0.16999999999999998,0.0,de,10
die Grünen,die Grünen,ORG,-0.030000000000000006,0.0,de,10
Demokraten,Demokraten,ORG,0.024999999999999994,0.0625,de,8
Europäischen Union,Europäischen Union,ORG,0.175,0.0,de,8
FDP-Chef,FDP-Chef,ORG,0.09999999999999999,0.0,de,7
…,…,ORG,-0.14285714285714285,0.0,de,7
EU-Kommission,EU-Kommission,ORG,-0.021428571428571432,0.0,de,7
US-Vizepräsident,US-Vizepräsident,ORG,0.29999999999999993,0.0,de,7
Merz,Merz,ORG,-0.35000000000000003,0.0,de,7
Grünen,Grünen,ORG,0.09999999999999999,0.0,de,7
t3n.de,t3n.de,ORG,0.0,0.0,de,7
LIVE,LIVE,ORG,0.0,0.16666666666666666,de,6
G-20-Gipfels,G-20-Gipfels,ORG,0.3499999999999999,0.0,de,6
Siemens,Siemens,ORG,-0.16666666666666666,0.0,de,6
Justizministerium,Justizministerium,ORG,0.0,0.0,de,6
Midterms,Midterms,ORG,-0.3083333333333333,0.0,de,6
RWE,RWE,ORG,-0.16666666666666666,0.0,de,6
Ukraine.,Ukraine.,ORG,-0.16666666666666666,0.0,de,6
Elmos,Elmos,ORG,0.0,0.0,de,5
Nato,Nato,ORG,-0.05,0.0,de,5
Wolfsburg,Wolfsburg,ORG,0.0,0.2,de,5
CNN,CNN,ORG,0.0,0.0,de,4
VW,VW,ORG,0.35,0.0,de,4
DWD,DWD,ORG,-0.325,0.0,de,4
Volkswagen,Volkswagen,ORG,-0.07500000000000001,0.0,de,4
CDU-Chef,CDU-Chef,ORG,0.175,0.225,de,4
Deutschland,Deutschland,ORG,0.175,0.0,de,4
Parteigliederungen,Parteigliederungen,ORG,0.0,0.0,de,4
Europäische Union,Europäische Union,ORG,0.5,0.0,de,4
Katar,Katar,ORG,0.0,0.75,de,4
DER SPIEGEL.,DER SPIEGEL.,ORG,0.425,0.0,de,4
SPD-Chef,SPD-Chef,ORG,0.0,0.0,de,4
Bundeswehr,Bundeswehr,ORG,0.0,0.0,de,4
COP,COP,ORG,0.0,0.0,de,4
AKW,AKW,ORG,-0.07500000000000001,0.0,de,4
RTL,RTL,ORG,0.0,0.0,de,4
NATO,NATO,ORG,0.5625,0.0,de,4
FAZ,FAZ,ORG,0.5666666666666667,0.0,de,3
UN-Sicherheitsrat,UN-Sicherheitsrat,ORG,-0.15,0.0,de,3
Ukraine,Ukraine,ORG,-0.05000000000000001,0.0,de,3
EU-Ratspräsidenten,EU-Ratspräsidenten,ORG,0.0,0.0,de,3
Republikanischen Partei,Republikanischen Partei,ORG,0.6,0.0,de,3
Armee,Armee,ORG,0.4666666666666666,0.3333333333333333,de,3
Mercedes,Mercedes,ORG,0.0,0.0,de,3
US-Republikanern.,US-Republikanern.,ORG,0.0,0.0,de,3
Europäische Zentralbank,Europäische Zentralbank,ORG,0.0,0.0,de,3
Demokraten.,Demokraten.,ORG,-0.3333333333333333,0.0,de,3
Gericht!,Gericht!,ORG,-0.6999999999999998,0.0,de,3
SPD-Bezirk,SPD-Bezirk,ORG,0.0,0.0,de,3
Politiker-Top-Ten,Politiker-Top-Ten,ORG,0.0,0.0,de,3
Forbes,Forbes,ORG,0.0,0.0,de,3
Union.,Union.,ORG,-0.3333333333333333,0.0,de,3
Milliardengewinne.,Milliardengewinne.,ORG,0.0,0.0,de,3
den Grünen,den Grünen,ORG,-0.6666666666666666,0.0,de,3
Ukraine:,Ukraine:,ORG,-0.2333333333333333,0.0,de,3
Republikanern,Republikanern,ORG,0.0,0.0,de,3
… Berlin,… Berlin,ORG,0.3333333333333333,0.0,de,3
FDP-Vorsitzende,FDP-Vorsitzende,ORG,0.0,0.0,de,3
China-Besuch,China-Besuch,ORG,0.3333333333333333,0.3333333333333333,de,3
VW-Chef,VW-Chef,ORG,0.0,0.0,de,3
Weltklimakonferenz.,Weltklimakonferenz.,ORG,0.0,0.0,de,3
Eurozone,Eurozone,ORG,0.5666666666666667,0.0,de,3
Polizei,Polizei,ORG,-0.6666666666666666,0.0,de,3
