,phrase,label,sentiment,subjectivity,language,count
Taylor Swift,Taylor Swift,PER,0.06974358974358973,0.04871794871794872,de,195
Britney Spears,Britney Spears,PER,-0.02643678160919541,0.1206896551724138,de,87
Travis Kelce,Travis Kelce,PER,0.06956521739130436,0.028985507246376812,de,69
Prinz William,Prinz William,PER,0.019491525423728808,0.01694915254237288,de,59
Charlie Munger,Charlie Munger,PER,-0.3166666666666666,0.0065359477124183,de,51
Donald Trump,Donald Trump,PER,-0.10400000000000002,0.02,de,50
Prinz Harry,Prinz Harry,PER,0.19166666666666665,0.0,de,48
Novak Djokovic,Novak Djokovic,PER,0.18372093023255814,0.08139534883720931,de,43
Heidi Klum,Heidi Klum,PER,0.24499999999999997,0.0,de,40
Joe Biden,Joe Biden,PER,0.11874999999999998,0.0,de,40
Pedro Sánchez,Pedro Sánchez,PER,0.1769230769230769,0.0,de,39
Brad Pitt,Brad Pitt,PER,-0.015384615384615382,0.02564102564102564,de,39
Sam Altman,Sam Altman,PER,0.04210526315789472,0.02631578947368421,de,38
Indiana Jones,Indiana Jones,PER,0.055263157894736833,0.05263157894736842,de,38
Prinzessin Kate,Prinzessin Kate,PER,0.225,0.0,de,38
Olaf Scholz,Olaf Scholz,PER,-0.13088235294117648,0.014705882352941176,de,34
Jens Spahn,Jens Spahn,PER,-0.18854166666666666,0.09375,de,32
Paris Hilton,Paris Hilton,PER,0.24193548387096778,0.03225806451612903,de,31
Jeff Bezos,Jeff Bezos,PER,0.13010752688172042,0.05376344086021505,de,31
Angelina Jolie,Angelina Jolie,PER,-0.0034482758620689685,0.10344827586206896,de,29
Tom Brady,Tom Brady,PER,-0.6240740740740741,0.0,de,27
Javier Milei,Javier Milei,PER,-0.061538461538461535,0.038461538461538464,de,26
Leni Klum,Leni Klum,PER,0.14615384615384613,0.0,de,26
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.09799999999999999,0.06,de,25
Caren Miosga,Caren Miosga,PER,-0.010869565217391304,0.043478260869565216,de,23
Robert De Niro,Robert De Niro,PER,-0.4090909090909091,0.09090909090909091,de,22
Eric Adams,Eric Adams,PER,-0.2857142857142857,0.0,de,21
