,summary,Deutschland,Brasilien,USA,Frankreich,UN,China,Russland,Ukraine,word
summaryOfAllWords,20121.49351590545,8260.574098406023,3122.963660713153,2421.891406471429,1080.0851077735801,0.0,2663.999841935472,2133.4096820719683,438.56971853197894,
Atomausstieg,3.722855565972428,0.03473121508728052,0.06939461145205436,-0.4694719418215985,-0.3957054141707779,0.0,-0.4876256671678572,0.6362260074821768,-0.3361972445746328,Atomausstieg
Unsere,3.282325761431306,-0.002341758401191953,0.015005343806959124,-0.34353318747796363,-0.26976665982714276,0.0,-0.36168691282422244,0.617694497814233,-0.21025849023099777,Unsere
atomausstieg unser,2.7305206477617823,-0.34669483516718264,0.19906528405697943,-0.1594732472279431,-0.0857067195771225,0.0,-0.1776269725742019,0.8017544380642535,-0.02619854998097735,atomausstieg unser
drei,8.526155501923322,0.3367750740900616,-0.16716257635911166,-0.6326600288312099,-1.2243529718299968,0.0,-0.73339742746209,0.30379519491727336,-1.1648448022338518,drei
unser drei,2.77708504279219,-0.3636043625236218,0.19762063630116594,-0.17638277458438242,-0.10261624693356165,0.0,-0.19453649993064115,0.8427896918806755,-0.04310807733741655,unser drei
Nuklearwaffen,2.820195846348209,-0.3790088622861575,0.19455325336259421,-0.19178727434691825,-0.11802074669609738,0.0,-0.20994099969317698,0.8795033220521569,-0.058512577099952195,Nuklearwaffen
drei nuklearwaffe,2.820195846348209,-0.3790088622861575,0.19455325336259421,-0.19178727434691825,-0.11802074669609738,0.0,-0.20994099969317698,0.8795033220521569,-0.058512577099952195,drei nuklearwaffe
Wladimir,15.46141187003672,-1.5328360335946634,-1.4416075012998308,-1.0267138809693677,-1.8195617781518592,0.0,-0.7141934509176455,1.941627375244257,-0.13741732814377022,Wladimir
nuklearwaffe wladimir,3.3856226497025714,-0.5617403639187645,0.07720202852332429,-0.3745187759795251,-0.3007522483287043,0.0,-0.3926725013257838,1.2477042115926926,-0.24124407873255901,nuklearwaffe wladimir
Putin,23.974700437829583,-1.5747269050312651,-1.298888606921543,-0.7906483782546418,-2.258213541016854,0.0,-0.6824803717380681,1.9109732304483857,0.2798457433821673,Putin
wladimir putin,15.540236953073919,-1.4522076105751882,-1.4035139534829444,-1.0525665020432948,-1.8246470078667083,0.0,-0.7782733837958119,1.9365421455294078,-0.1349207374923515,wladimir putin
Kolumne,3.2552670769264376,-0.31606290429514816,0.21160340063562594,-0.3352552663263156,-0.2614887386754949,0.0,-0.3534089916725744,0.9374640986304468,-0.20198056907934978,Kolumne
putin kolumne,3.0735650322445536,-0.46504066684792783,0.2690395880532531,-0.2778190789086883,-0.2040525512578675,0.0,-0.2959728042549471,0.9949002860480741,-0.14454438166172248,putin kolumne
DER,6.04665012340341,-0.039750190768822045,0.0354267809758777,-0.26988762039167413,-0.8807188351819604,0.0,0.12485723402744081,0.4775590833473406,-0.8212106655858152,DER
kolumne der,2.9965483386452987,-0.43966360317603487,0.39488267925552606,-0.2524420152367954,-0.1786754875859747,0.0,-0.27059574058305425,0.8432401258021086,-0.11916731798982945,kolumne der
SPIEGEL,6.179754592564557,-0.034979652100363,0.06643059199866182,-0.2603916869271805,-0.9024929758380296,0.0,0.1417470969104124,0.41915940903029497,-0.8429848062418845,SPIEGEL
der spiegel,6.179754592564557,-0.034979652100363,0.06643059199866182,-0.2603916869271805,-0.9024929758380296,0.0,0.1417470969104124,0.41915940903029497,-0.8429848062418845,der spiegel
Isar,4.122866486736763,-0.30237987767515284,0.8119813520438048,-0.5715296133968333,-0.4977630857460124,0.0,-0.589683338743092,0.4048463006665643,-0.4382549161498674,Isar
spiegel isar,3.16624709123051,-0.49474953434162183,0.6517819540897493,-0.30752794640238257,-0.23376141875156164,0.0,-0.32568167174864115,0.6688479676610153,-0.17425324915541657,spiegel isar
Emsland,3.9876022399759137,-0.08505257438700757,0.5647568636806443,-0.5381710506503339,-0.46440452299951296,0.0,-0.5563247759965926,0.38282191157942785,-0.404896353403368,Emsland
isar emsland,2.9534917956871194,-0.42519066062197275,0.5128719566892832,-0.23796907268273326,-0.16420254503191264,0.0,-0.256122798028992,0.6830238895470284,-0.10469437543576737,isar emsland
Neckarwestheim,3.606224177850721,-0.18333538979373057,0.5967839660462877,-0.4376422336093435,-0.3638757059585228,0.0,-0.45579595895560243,0.4197344626819627,-0.3043675363623778,Neckarwestheim
emsland neckarwestheim,2.795405512050399,-0.3701797115835475,0.3975899770418719,-0.18295812364430805,-0.10919159599348738,0.0,-0.20111184899056678,0.6744185726469982,-0.049683426397342106,emsland neckarwestheim
helfen,3.1092731202718653,-0.05205583674994415,0.18003388209610185,-0.2893699182370452,-0.2156033905862245,0.0,-0.3075236435833039,0.5016027465258897,-0.1560952209900794,helfen
neckarwestheim helf,2.6901078810929904,-0.3317838279930804,0.3248415602793057,-0.14456224005384125,-0.07079571240302045,0.0,-0.16271596540009986,0.6464104247090937,-0.011287542806875321,neckarwestheim helf
Klima,2.616623133524575,-0.30408713680618504,0.27748580589605343,-0.11686554886694565,-0.04309902121612506,0.0,-0.13501927421320442,0.6140956046092061,0.016409148380020118,Klima
helf klima,2.616623133524575,-0.30408713680618504,0.27748580589605343,-0.11686554886694565,-0.04309902121612506,0.0,-0.13501927421320442,0.6140956046092061,0.016409148380020118,helf klima
