keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Selenskyj',de,Ukraine,#e818e8,#e818e8,3,0.3820821279273323
'Papst Franziskus',de,Vatikan,#58b8e8,#58b8e8,3,0.2673101018211568
'König Charles III',de,UK,#e838e8,#e838e8,3,0.2611181630952149
'Wladimir Putin',de,Russland,#e81818,#e81818,3,0.254836216965712
'Olaf Scholz',de,Deutschland,#1818e8,#1818e8,3,0.2538674949989111
'Recep Tayyip Erdoğan',de,Türkei,#111111,#111111,3,0.2530383878648413
'Jan Böhmermann',de,Deutschland,#1818e8,#1818e8,3,0.2468583772174039
'Nancy Faeser',de,Deutschland,#1818e8,#1818e8,3,0.2448319842083268
'David Malpass',de,USA,#18e8e8,#18e8e8,3,0.2432576681222887
'Emmanuel Macron',de,Frankreich,#e8e808,#e8e808,3,0.2430849894499574
'Boris Johnson',de,UK,#e838e8,#e838e8,3,0.2405358488158891
'Joe Biden',de,USA,#18e8e8,#18e8e8,3,0.2395069658496836
'Christian Lindner',de,Deutschland,#1818e8,#1818e8,3,0.2394332111721883
'Papst Benedikt XVI',de,Vatikan,#58b8e8,#58b8e8,3,0.2390544938798157
'Mateusz Morawiecki',de,Polen,#111111,#111111,3,0.2381867898095292
'Charles III',de,UK,#e838e8,#e838e8,3,0.237780107237137
'Markus Söder',de,Deutschland,#1818e8,#1818e8,3,0.2320494401839106
'Donald Trump',de,USA,#18e8e8,#18e8e8,3,0.2290131737241083
'Jacinda Ardern',de,Neuseeland,#1818e8,#1818e8,3,0.2278266061495537
'Lothar Wieler',de,Deutschland,#1818e8,#1818e8,3,0.2276949466622334
'Mukesh Ambani',de,Indien,#111111,#111111,1,0.2259316638086625
'Mark Zuckerberg',de,USA,#18e8e8,#18e8e8,3,0.225182839664109
'Markus Krebber',de,Deutschland,#1818e8,#1818e8,2,0.2250233390786797
'Frank-Walter Steinmeier',de,Deutschland,#1818e8,#1818e8,3,0.2250167100048855
'Horst Seehofer',de,Deutschland,#1818e8,#1818e8,3,0.2242071240165156
'Friedrich Merz',de,Deutschland,#1818e8,#1818e8,3,0.2236704024248629
'Thomas Haldenwang',de,Deutschland,#1818e8,#1818e8,3,0.2176592260627981
'Kevin Kühnert',de,Deutschland,#1818e8,#1818e8,3,0.2158137437986348
'Mike Pence',de,USA,#18e8e8,#18e8e8,3,0.2147546952772353
'Alexej Kudrin',de,Russland,#e81818,#e81818,1,0.2141673796936554
'Sandra Maischberger',de,Deutschland,#1818e8,#1818e8,3,0.2129842888573248
'Ursula von der Leyen',de,EU,#111111,#111111,3,0.212724283319859
'Robert Habeck',de,Deutschland,#1818e8,#1818e8,3,0.2126035265753862
'Alice Weidel',de,Deutschland,#1818e8,#1818e8,2,0.2119079484743716
'Angela Merkel',de,Deutschland,#1818e8,#1818e8,3,0.2114151729386467
'Andrés Manuel López Obrador',de,Mexiko,#111111,#111111,3,0.2113060175513874
'Daniel Freund',de,EU,#111111,#111111,3,0.2109602934813447
